ticker,long_name,short_name,sector,short_alias
RELIANCE.NS,Reliance Industries Limited,RELIANCE INDUSTRIES LTD,Energy,Reliance Industries
TCS.NS,Tata Consultancy Services Limited,TATA CONSULTANCY SERV LT,Technology,Tata Consultancy Services
HDFCBANK.NS,HDFC Bank Limited,HDFC BANK LTD,Financial Services,HDFC Bank
BHARTIARTL.NS,Bharti Airtel Limited,BHARTI AIRTEL LIMITED,Communication Services,Bharti Airtel
ICICIBANK.NS,ICICI Bank Limited,ICICI BANK LTD.,Financial Services,ICICI Bank
INFY.NS,Infosys Limited,INFOSYS LIMITED,Technology,Infosys
HINDUNILVR.NS,Hindustan Unilever Limited,HINDUSTAN UNILEVER LTD.,Consumer Defensive,Hindustan Unilever
ITC.NS,ITC Limited,ITC LTD,Consumer Defensive,
SBIN.NS,State Bank of India,STATE BANK OF INDIA,Financial Services,State Bank of India
LTM.NS,LTM Limited,LTM LIMITED,Technology,LTIMindtree
LICI.NS,Life Insurance Corporation of India,LIFE INSURA CORP OF INDIA,Financial Services,Life Insurance Corporation of India
HCLTECH.NS,HCL Technologies Limited,HCL TECHNOLOGIES LTD,Technology,HCL Technologies
BAJAJFINSV.NS,Bajaj Finserv Ltd.,BAJAJ FINSERV LTD.,Financial Services,Bajaj Finserv
BAJFINANCE.NS,Bajaj Finance Limited,BAJAJ FINANCE LIMITED,Financial Services,Bajaj Finance
AXISBANK.NS,Axis Bank Limited,AXIS BANK LIMITED,Financial Services,Axis Bank
MARUTI.NS,Maruti Suzuki India Limited,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,Maruti Suzuki India
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,SUN PHARMACEUTICAL IND L,Healthcare,Sun Pharmaceutical Industries
KOTAKBANK.NS,Kotak Mahindra Bank Limited,KOTAK MAHINDRA BANK LTD,Financial Services,Kotak Mahindra Bank
LT.NS,Larsen & Toubro Limited,LARSEN & TOUBRO LTD.,Industrials,Larsen & Toubro
ULTRACEMCO.NS,UltraTech Cement Limited,ULTRATECH CEMENT LIMITED,Basic Materials,UltraTech Cement
NTPC.NS,NTPC Limited,NTPC LTD,Utilities,NTPC
TITAN.NS,Titan Company Limited,TITAN COMPANY LIMITED,Consumer Cyclical,Titan
DMART.NS,Avenue Supermarts Limited,AVENUE SUPERMARTS LIMITED,Consumer Defensive,Avenue Supermarts
COALINDIA.NS,Coal India Limited,COAL INDIA LTD,Energy,Coal India
TATASTEEL.NS,Tata Steel Limited,TATA STEEL LIMITED,Basic Materials,Tata Steel
ADANIENT.NS,Adani Enterprises Limited,ADANI ENTERPRISES LIMITED,Energy,Adani Enterprises
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,ADANI PORT & SEZ LTD,Industrials,Adani Ports and Special Economic Zone
ADANIGREEN.NS,Adani Green Energy Limited,ADANI GREEN ENERGY LTD,Utilities,Adani Green Energy
